code-switched,english_translation,spanish_translation,audio_filename
I can't wait to see you mañana!,I can't wait to see you mañana!,No puedo esperar a verte mañana!,see_you_manana.mp3
Do you want to go to the parque?,Do you want to go to the parque?,¿Quieres ir al parque?,go_to_parque.mp3
Let's grab some comida for the party.,Let's grab some comida for the party.,Vamos a conseguir algo de comida para la fiesta.,party_comida.mp3
I need to buy some leche at the store.,I need to buy some leche at the store.,Necesito comprar un poco de leche en la tienda.,buy_leche_store.mp3
¿Qué tal si vamos al cine tonight?,¿Qué tal si vamos al cine tonight?,How about we go to the movies tonight?,go_to_cine_tonight.mp3
I have a lot of tarea to do tonight.,I have a lot of tarea to do tonight.,Tengo mucha tarea que hacer esta noche.,tarea_tonight.mp3
Let's go for a walk in the parque.,Let's go for a walk in the parque.,Vamos a dar un paseo por el parque.,walk_parque.mp3
I want to eat some tacos for dinner.,I want to eat some tacos for dinner.,Quiero comer unos tacos para cenar.,eat_tacos_dinner.mp3
Do you want to meet me at the café later?,Do you want to meet me at the café later?,¿Quieres encontrarme en el café más tarde?,meet_at_cafe.mp3
I need to study for my exam mañana.,I need to study for my exam mañana.,Necesito estudiar para mi examen mañana.,study_for_exam.mp3
Let's go to the playa this weekend.,Let's go to the playa this weekend.,Vamos a la playa este fin de semana.,go_to_playa_weekend.mp3
I'm going to the biblioteca to study.,I'm going to the biblioteca to study.,Voy a la biblioteca a estudiar.,go_to_biblioteca.mp3
Do you want to come over to my casa for dinner?,Do you want to come over to my casa for dinner?,¿Quieres venir a mi casa a cenar?,come_over_casa_dinner.mp3
I have to pick up my hermano from school.,I have to pick up my hermano from school.,Tengo que recoger a mi hermano de la escuela.,pick_up_hermano_school.mp3
Let's go to the parque and have a picnic.,Let's go to the parque and have a picnic.,Vamos al parque y hacemos un picnic.,go_to_parque_picnic.mp3
I need to buy some frutas at the mercado.,I need to buy some frutas at the mercado.,Necesito comprar algunas frutas en el mercado.,buy_frutas_mercado.mp3
Do you want to go to the cine with me tonight?,Do you want to go to the cine with me tonight?,¿Quieres ir al cine conmigo esta noche?,go_to_cine_with_me.mp3
I have a lot of homework to do tonight.,I have a lot of homework to do tonight.,Tengo mucha tarea que hacer esta noche.,homework_tonight.mp3
Let's go for a walk on the playa.,Let's go for a walk on the playa.,Vamos a dar un paseo por la playa.,walk_playa.mp3
I want to eat some pizza for dinner.,I want to eat some pizza for dinner.,Quiero comer pizza para cenar.,eat_pizza_dinner.mp3
Do you want to meet me at the café mañana?,Do you want to meet me at the café mañana?,¿Quieres encontrarme en el café mañana?,meet_at_cafe_manana.mp3
I need to study for my exam mañana.,I need to study for my exam mañana.,Necesito estudiar para mi examen mañana.,study_for_exam_manana.mp3
Let's go to the biblioteca together.,Let's go to the biblioteca together.,Vamos a la biblioteca juntos.,go_to_biblioteca_together.mp3
Do you want to come over to my casa for lunch?,Do you want to come over to my casa for lunch?,¿Quieres venir a mi casa a almorzar?,come_over_casa_lunch.mp3
I have to pick up my hermana from school.,I have to pick up my hermana from school.,Tengo que recoger a mi hermana de la escuela.,pick_up_hermana_school.mp3
Let's go to the parque and play soccer.,Let's go to the parque and play soccer.,Vamos al parque y jugamos al fútbol.,go_to_parque_play_soccer.mp3
I need to buy some libros at the librería.,I need to buy some libros at the librería.,Necesito comprar algunos libros en la librería.,buy_libros_libreria.mp3
Do you want to go to the museo with me tomorrow?,Do you want to go to the museo with me tomorrow?,¿Quieres ir al museo conmigo mañana?,go_to_museo_with_me_tomorrow.mp3
I have a lot of work to do tonight.,I have a lot of work to do tonight.,Tengo mucho trabajo que hacer esta noche.,work_tonight.mp3
Let's go for a walk in the bosque.,Let's go for a walk in the bosque.,Vamos a dar un paseo por el bosque.,walk_bosque.mp3
I want to eat some pasta for dinner.,I want to eat some pasta for dinner.,Quiero comer pasta para cenar.,eat_pasta_dinner.mp3
Do you want to meet me at the café later?,Do you want to meet me at the café later?,¿Quieres encontrarme en el café más tarde?,meet_at_cafe_later.mp3
I need to study for my exam tonight.,I need to study for my exam tonight.,Necesito estudiar para mi examen esta noche.,study_for_exam_tonight.mp3
Let's go to the cine to watch a movie.,Let's go to the cine to watch a movie.,Vamos al cine a ver una película.,go_to_cine_watch_movie.mp3
I have to pick up my primos from school.,I have to pick up my primos from school.,Tengo que recoger a mis primos de la escuela.,pick_up_primos_school.mp3
Let's go to the parque and have a picnic.,Let's go to the parque and have a picnic.,Vamos al parque y hacemos un picnic.,go_to_parque_picnic.mp3
I need to buy some frutas at the mercado.,I need to buy some frutas at the mercado.,Necesito comprar algunas frutas en el mercado.,buy_frutas_mercado.mp3
Do you want to go to the cine with me tomorrow?,Do you want to go to the cine with me tomorrow?,¿Quieres ir al cine conmigo mañana?,go_to_cine_with_me_manana.mp3
I have a lot of homework to do tonight.,I have a lot of homework to do tonight.,Tengo mucha tarea que hacer esta noche.,homework_tonight.mp3
Let's go for a walk on the playa.,Let's go for a walk on the playa.,Vamos a dar un paseo por la playa.,walk_playa.mp3
I want to eat some pizza for dinner.,I want to eat some pizza for dinner.,Quiero comer pizza para cenar.,eat_pizza_dinner.mp3
Do you want to meet me at the café mañana?,Do you want to meet me at the café mañana?,¿Quieres encontrarme en el café mañana?,meet_at_cafe_manana.mp3
I need to study for my exam mañana.,I need to study for my exam mañana.,Necesito estudiar para mi examen mañana.,study_for_exam_manana.mp3
Let's go to the biblioteca together.,Let's go to the biblioteca together.,Vamos a la biblioteca juntos.,go_to_biblioteca_together.mp3
Do you want to come over to my casa for lunch?,Do you want to come over to my casa for lunch?,¿Quieres venir a mi casa a almorzar?,come_over_casa_lunch.mp3
I have to pick up my hermana from school.,I have to pick up my hermana from school.,Tengo que recoger a mi hermana de la escuela.,pick_up_hermana_school.mp3
Let's go to the parque and play soccer.,Let's go to the parque and play soccer.,Vamos al parque y jugamos al fútbol.,go_to_parque_play_soccer.mp3
I need to buy some libros at the librería.,I need to buy some libros at the librería.,Necesito comprar algunos libros en la librería.,buy_libros_libreria.mp3
Do you want to go to the museo with me tomorrow?,Do you want to go to the museo with me tomorrow?,¿Quieres ir al museo conmigo mañana?,go_to_museo_with_me_tomorrow.mp3
I have a lot of work to do tonight.,I have a lot of work to do tonight.,Tengo mucho trabajo que hacer esta noche.,work_tonight.mp3
Let's go for a walk in the bosque.,Let's go for a walk in the bosque.,Vamos a dar un paseo por el bosque.,walk_bosque.mp3
I want to eat some pasta for dinner.,I want to eat some pasta for dinner.,Quiero comer pasta para cenar.,eat_pasta_dinner.mp3
Do you want to meet me at the café later?,Do you want to meet me at the café later?,¿Quieres encontrarme en el café más tarde?,meet_at_cafe_later.mp3
I need to study for my exam tonight.,I need to study for my exam tonight.,Necesito estudiar para mi examen esta noche.,study_for_exam_tonight.mp3
Let's go to the cine to watch a movie.,Let's go to the cine to watch a movie.,Vamos al cine a ver una película.,go_to_cine_watch_movie.mp3
I have to pick up my primos from school.,I have to pick up my primos from school.,Tengo que recoger a mis primos de la escuela.,pick_up_primos_school.mp3
Let's go to the parque and have a picnic.,Let's go to the parque and have a picnic.,Vamos al parque y hacemos un picnic.,go_to_parque_picnic.mp3
I need to buy some frutas at the mercado.,I need to buy some frutas at the mercado.,Necesito comprar algunas frutas en el mercado.,buy_frutas_mercado.mp3
Do you want to go to the cine with me tomorrow?,Do you want to go to the cine with me tomorrow?,¿Quieres ir al cine conmigo mañana?,go_to_cine_with_me_manana.mp3
I have a lot of homework to do tonight.,I have a lot of homework to do tonight.,Tengo mucha tarea que hacer esta noche.,homework_tonight.mp3
Let's go for a walk on the playa.,Let's go for a walk on the playa.,Vamos a dar un paseo por la playa.,walk_playa.mp3
I want to eat some pizza for dinner.,I want to eat some pizza for dinner.,Quiero comer pizza para cenar.,eat_pizza_dinner.mp3
Do you want to meet me at the café mañana?,Do you want to meet me at the café mañana?,¿Quieres encontrarme en el café mañana?,meet_at_cafe_manana.mp3
I need to study for my exam mañana.,I need to study for my exam mañana.,Necesito estudiar para mi examen mañana.,study_for_exam_manana.mp3
Let's go to the biblioteca together.,Let's go to the biblioteca together.,Vamos a la biblioteca juntos.,go_to_biblioteca_together.mp3
Do you want to come over to my casa for lunch?,Do you want to come over to my casa for lunch?,¿Quieres venir a mi casa a almorzar?,come_over_casa_lunch.mp3
I have to pick up my hermana from school.,I have to pick up my hermana from school.,Tengo que recoger a mi hermana de la escuela.,pick_up_hermana_school.mp3
Let's go to the parque and play soccer.,Let's go to the parque and play soccer.,Vamos al parque y jugamos al fútbol.,go_to_parque_play_soccer.mp3
I need to buy some libros at the librería.,I need to buy some libros at the librería.,Necesito comprar algunos libros en la librería.,buy_libros_libreria.mp3
Do you want to go to the museo with me tomorrow?,Do you want to go to the museo with me tomorrow?,¿Quieres ir al museo conmigo mañana?,go_to_museo_with_me_tomorrow.mp3
I have a lot of work to do tonight.,I have a lot of work to do tonight.,Tengo mucho trabajo que hacer esta noche.,work_tonight.mp3
Let's go for a walk in the bosque.,Let's go for a walk in the bosque.,Vamos a dar un paseo por el bosque.,walk_bosque.mp3
I want to eat some pasta for dinner.,I want to eat some pasta for dinner.,Quiero comer pasta para cenar.,eat_pasta_dinner.mp3
Do you want to meet me at the café later?,Do you want to meet me at the café later?,¿Quieres encontrarme en el café más tarde?,meet_at_cafe_later.mp3
I need to study for my exam tonight.,I need to study for my exam tonight.,Necesito estudiar para mi examen esta noche.,study_for_exam_tonight.mp3
Let's go to the cine to watch a movie.,Let's go to the cine to watch a movie.,Vamos al cine a ver una película.,go_to_cine_watch_movie.mp3
I have to pick up my primos from school.,I have to pick up my primos from school.,Tengo que recoger a mis primos de la escuela.,pick_up_primos_school.mp3
Let's go to the parque and have a picnic.,Let's go to the parque and have a picnic.,Vamos al parque y hacemos un picnic.,go_to_parque_picnic.mp3
I need to buy some frutas at the mercado.,I need to buy some frutas at the mercado.,Necesito comprar algunas frutas en el mercado.,buy_frutas_mercado.mp3
Do you want to go to the cine with me tomorrow?,Do you want to go to the cine with me tomorrow?,¿Quieres ir al cine conmigo mañana?,go_to_cine_with_me_manana.mp3
I have a lot of homework to do tonight.,I have a lot of homework to do tonight.,Tengo mucha tarea que hacer esta noche.,homework_tonight.mp3
Let's go for a walk on the playa.,Let's go for a walk on the playa.,Vamos a dar un paseo por la playa.,walk_playa.mp3
I want to eat some pizza for dinner.,I want to eat some pizza for dinner.,Quiero comer pizza para cenar.,eat_pizza_dinner.mp3
Do you want to meet me at the café mañana?,Do you want to meet me at the café mañana?,¿Quieres encontrarme en el café mañana?,meet_at_cafe_manana.mp3
I need to study for my exam mañana.,I need to study for my exam mañana.,Necesito estudiar para mi examen mañana.,study_for_exam_manana.mp3
Let's go to the biblioteca together.,Let's go to the biblioteca together.,Vamos a la biblioteca juntos.,go_to_biblioteca_together.mp3
Do you want to come over to my casa for lunch?,Do you want to come over to my casa for lunch?,¿Quieres venir a mi casa a almorzar?,come_over_casa_lunch.mp3
I have to pick up my hermana from school.,I have to pick up my hermana from school.,Tengo que recoger a mi hermana de la escuela.,pick_up_hermana_school.mp3
Let's go to the parque and play soccer.,Let's go to the parque and play soccer.,Vamos al parque y jugamos al fútbol.,go_to_parque_play_soccer.mp3
I need to buy some libros at the librería.,I need to buy some libros at the librería.,Necesito comprar algunos libros en la librería.,buy_libros_libreria.mp3
Do you want to go to the museo with me tomorrow?,Do you want to go to the museo with me tomorrow?,¿Quieres ir al museo conmigo mañana?,go_to_museo_with_me_tomorrow.mp3
I have a lot of work to do tonight.,I have a lot of work to do tonight.,Tengo mucho trabajo que hacer esta noche.,work_tonight.mp3
Let's go for a walk in the bosque.,Let's go for a walk in the bosque.,Vamos a dar un paseo por el bosque.,walk_bosque.mp3
I want to eat some pasta for dinner.,I want to eat some pasta for dinner.,Quiero comer pasta para cenar.,eat_pasta_dinner.mp3
Do you want to meet me at the café later?,Do you want to meet me at the café later?,¿Quieres encontrarme en el café más tarde?,meet_at_cafe_later.mp3
I need to study for my exam tonight.,I need to study for my exam tonight.,Necesito estudiar para mi examen esta noche.,study_for_exam_tonight.mp3
Let's go to the cine to watch a movie.,Let's go to the cine to watch a movie.,Vamos al cine a ver una película.,go_to_cine_watch_movie.mp3
I have to pick up my primos from school.,I have to pick up my primos from school.,Tengo que recoger a mis primos de la escuela.,pick_up_primos_school.mp3
Let's go to the parque and have a picnic.,Let's go to the parque and have a picnic.,Vamos al parque y hacemos un picnic.,go_to_parque_picnic.mp3
I need to buy some frutas at the mercado.,I need to buy some frutas at the mercado.,Necesito comprar algunas frutas en el mercado.,buy_frutas_mercado.mp3
